<http://www.wikidata.org/entity/Q59415554> <http://www.wikidata.org/prop/direct/P625> "Point(10.99556 49.25933)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59415766> <http://www.wikidata.org/prop/direct/P625> "Point(9.6613782 49.7149687)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59415783> <http://www.wikidata.org/prop/direct/P625> "Point(9.6458193 49.6932785)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59415814> <http://www.wikidata.org/prop/direct/P625> "Point(9.643154 49.7010968)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59416021> <http://www.wikidata.org/prop/direct/P625> "Point(9.7217911111111 50.150573888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59416031> <http://www.wikidata.org/prop/direct/P625> "Point(9.6379569444444 50.021151944444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59416038> <http://www.wikidata.org/prop/direct/P625> "Point(9.81501099928 50.0027165187)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59416047> <http://www.wikidata.org/prop/direct/P625> "Point(9.59444 49.984323888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59416258> <http://www.wikidata.org/prop/direct/P625> "Point(9.6248301382 49.7965026141)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419247> <http://www.wikidata.org/prop/direct/P625> "Point(3.8690527777778 43.611380555556)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419540> <http://www.wikidata.org/prop/direct/P625> "Point(10.448665 48.133698888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
